_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
,121,infibeam Result Data,infibeam Result Data,121,http://www.infibeam.com/Mobiles/search?page=7,INFOCUS M2 8GB Unboxed (White),Rs. 4179
,122,infibeam Result Data,infibeam Result Data,122,http://www.infibeam.com/Mobiles/search?page=7,Micromax F145 (Black),Rs. 985
,123,infibeam Result Data,infibeam Result Data,123,http://www.infibeam.com/Mobiles/search?page=7,Micromax F145 (White),Rs. 932
,124,infibeam Result Data,infibeam Result Data,124,http://www.infibeam.com/Mobiles/search?page=7,BlackBerry Z3 (Black),Rs. 12900
,125,infibeam Result Data,infibeam Result Data,125,http://www.infibeam.com/Mobiles/search?page=7,Micromax Bolt D303 (Blue),Rs. 3087
,126,infibeam Result Data,infibeam Result Data,126,http://www.infibeam.com/Mobiles/search?page=7,Lenovo S850 (Blue),Rs. 9748
,127,infibeam Result Data,infibeam Result Data,127,http://www.infibeam.com/Mobiles/search?page=7,Asus ZenFone 5 A501CG (White) (16GB),Rs. 10604
,128,infibeam Result Data,infibeam Result Data,128,http://www.infibeam.com/Mobiles/search?page=7,Asus ZenFone 5 A501CG (Black) (16GB),Rs. 10604
,129,infibeam Result Data,infibeam Result Data,129,http://www.infibeam.com/Mobiles/search?page=7,Panasonic Eluga Icon (Walet),Rs. 12999
,130,infibeam Result Data,infibeam Result Data,130,http://www.infibeam.com/Mobiles/search?page=7,Panasonic Eluga Icon (Gold),Rs. 12999
,131,infibeam Result Data,infibeam Result Data,131,http://www.infibeam.com/Mobiles/search?page=7,OPPO R7 Plus (Gold),Rs. 29349
,132,infibeam Result Data,infibeam Result Data,132,http://www.infibeam.com/Mobiles/search?page=7,Sony Xperia Z2 (White),Rs. 26959
,133,infibeam Result Data,infibeam Result Data,133,http://www.infibeam.com/Mobiles/search?page=7,Karbonn K9 (White Silver),Rs. 1368
,134,infibeam Result Data,infibeam Result Data,134,http://www.infibeam.com/Mobiles/search?page=7,LG G4 (Metallic),Rs. 38049
,135,infibeam Result Data,infibeam Result Data,135,http://www.infibeam.com/Mobiles/search?page=7,Micromax X3020 (White),Rs. 1539
,136,infibeam Result Data,infibeam Result Data,136,http://www.infibeam.com/Mobiles/search?page=7,Micromax X3020 (Black),Rs. 1624
,137,infibeam Result Data,infibeam Result Data,137,http://www.infibeam.com/Mobiles/search?page=7,Intex Aqua Power HD (White Champ),Rs. 9349
,138,infibeam Result Data,infibeam Result Data,138,http://www.infibeam.com/Mobiles/search?page=7,Intex Aqua Power HD (Black),Rs. 9349
,139,infibeam Result Data,infibeam Result Data,139,http://www.infibeam.com/Mobiles/search?page=7,Intex Aqua Power HD (Blue Gold),Rs. 7879
,140,infibeam Result Data,infibeam Result Data,140,http://www.infibeam.com/Mobiles/search?page=7,Nokia 105 (Black),Rs. 1388
,141,infibeam Result Data,infibeam Result Data,141,http://www.infibeam.com/Mobiles/search?page=8,Lava Iris X1 Atom S (White),Rs. 3799
,142,infibeam Result Data,infibeam Result Data,142,http://www.infibeam.com/Mobiles/search?page=8,Intex Aqua Star II HD (Champagne),Rs. 5949
,143,infibeam Result Data,infibeam Result Data,143,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy Grand Neo Plus (White),Rs. 8990
,144,infibeam Result Data,infibeam Result Data,144,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy Grand Neo Plus (Gold),Rs. 8990
,145,infibeam Result Data,infibeam Result Data,145,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy Grand Neo Plus (Black),Rs. 8990
,146,infibeam Result Data,infibeam Result Data,146,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy Core 2 (Black),Rs. 7279
,147,infibeam Result Data,infibeam Result Data,147,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy Core 2 (White),Rs. 7279
,148,infibeam Result Data,infibeam Result Data,148,http://www.infibeam.com/Mobiles/search?page=8,Sony Xperia T2 Ultra Dual (Purple),Rs. 20199
,149,infibeam Result Data,infibeam Result Data,149,http://www.infibeam.com/Mobiles/search?page=8,HTC Desire 626G Plus Dual Sim (White),Rs. 16410
,150,infibeam Result Data,infibeam Result Data,150,http://www.infibeam.com/Mobiles/search?page=8,HTC Desire 626G Plus Dual Sim (Blue),Rs. 16410
,151,infibeam Result Data,infibeam Result Data,151,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy A3 (Gold),Rs. 14900
